status,is_placeholder,sdc_rate,requested_sdc,actual_sdc,total_cores,num_nodes,runs_ok,process_time_s_mean,process_time_s_median,speedup_vs_80_mean,efficiency_vs_80_mean,first_tree_s_mean,twin_tree_s_mean,traversal_s_mean,third_tree_s_mean,overhead_vs_first_s_mean,recovery_overhead_s_mean
ok,0,0.000002,4,2,160,4,9,37.080076499444445,36.891432258,1.7988468105275408,0.8994234052637704,14.808613245666667,14.577223982444444,0.16523218677777776,7.524317561555556,22.271463253777778,22.26677373077778
incomplete,0,0.000006,3,0,160,4,0,,,,,,,,,,
ok,0,0.000006,3,3,160,4,11,40.445209224181816,40.454583156,1.799941767974359,0.8999708839871795,14.741588967181817,14.460637805636363,0.1591697288181818,11.078916331454545,25.703620257,25.69872386590909
ok,0,0.000006,4,4,160,4,3,42.93309570466666,43.084614588,1.8345687159111308,0.9172843579555654,14.435201212,14.139732880333334,0.14305224633333333,14.210929357,28.497894492666664,28.49371448366667
incomplete,0,0.000006,5,0,160,4,0,,,,,,,,,,
ok,0,0.000006,5,5,160,4,9,44.03149342644444,43.811230839,1.8034450987882893,0.9017225493941446,14.803457732444445,14.560535176,0.15365854644444443,14.508682647,29.228035694,29.222876369444442
incomplete,0,0.000006,6,0,160,4,0,,,,,,,,,,
ok,0,0.000006,6,6,160,4,7,43.54583158957143,43.579474737,1.8312046447425485,0.9156023223712743,14.626926618285715,14.390291103428572,0.14673208742857144,14.377152126571428,28.918904971285713,28.914175317428572
incomplete,0,0.000002,1,0,320,8,0,,,,,,,,,,
ok,0,0.000002,1,1,320,8,19,21.570408292894736,21.561317663,3.065969252071808,0.766492313017952,8.462437898578948,8.377358957315789,0.213240699,4.508899309368421,13.10797039431579,13.09949896568421
ok,0,0.000002,2,2,320,8,7,21.611441774714287,21.510819179,3.062766923049264,0.765691730762316,8.493514418857144,8.389310002285715,0.20322426742857141,4.5170411168571425,13.117927355857143,13.109575386571429
incomplete,0,0.000002,3,0,320,8,0,,,,,,,,,,
ok,0,0.000002,3,2,320,8,4,21.6828311535,21.626020293,3.0936498082342085,0.7734124520585521,8.49143376925,8.417014323,0.219719607,4.54689854275,13.19139738425,13.18363247275
ok,0,0.000002,4,2,320,8,10,21.8922201225,21.885815352,3.04680735767816,0.76170183941954,8.5720479345,8.5016152118,0.2236433607,4.5861863362,13.320172188,13.3114449087
incomplete,0,0.000006,3,0,320,8,0,,,,,,,,,,
ok,0,0.000006,3,3,320,8,11,23.753449694181818,23.748121267,3.064776793869149,0.7661941984672872,8.510679433545455,8.428492176181818,0.207016436,6.599086758727273,15.242770260636362,15.23459537090909
ok,0,0.000006,4,4,320,8,5,24.9410653604,24.94796572,3.157993177871886,0.7894982944679715,8.339921353,8.244756577,0.1826132618,8.1655118246,16.6011440074,16.5928816634
incomplete,0,0.000006,5,0,320,8,0,,,,,,,,,,
ok,0,0.000006,5,5,320,8,8,25.539294459,25.635883614,3.109262910129713,0.7773157275324283,8.53618510975,8.4379794885,0.200624153875,8.35642165525,17.00310934925,16.995025297625
incomplete,0,0.000006,6,0,320,8,0,,,,,,,,,,
ok,0,0.000006,6,6,320,8,7,25.499452930142855,25.399941216,3.1271780333662735,0.7817945083415684,8.48686758057143,8.367726481,0.18859006785714286,8.448249364285713,17.012585349571427,17.00456591314286
incomplete,0,0.000002,1,0,640,16,0,,,,,,,,,,
