status,is_placeholder,filename,job_id,num_nodes,num_cores,total_cores,system,input_size,repeats,check_enabled,sdc_rate,requested_sdc,actual_sdc,max_injected_sdcs,cutoff,first_tree_ns,first_tree_s,twin_tree_ns,twin_tree_s,traversal_ns,traversal_s,third_tree_ns,third_tree_s,process_time_ns,process_time_s,overhead_vs_first_s,recovery_overhead_s,first_tree_tasks,twin_tree_tasks,third_tree_tasks,traversal_root_exec_once_ns,traversal_clear_analysis_ns,traversal_seed_needed_ns,traversal_propagate_needed_ns,traversal_precompute_direct_ns,traversal_materialize_marked_ns,replay_profile_total_ns,replay_profile_parent_validate_ns,replay_profile_child_resolve_ns,replay_profile_child_validate_ns,replay_profile_decision_ns,sync_calls,sync_total_ns,sync_done_ns,sync_copy_ns,resume_calls,resume_total_ns,resume_copy_ns,values_match_full,values_match_equal,values_match_unequal,values_match_fetch_bytes,values_match_avg_fetch,values_match_ns,output_match_bridge,output_match_visible,output_match_values_taken,output_match_values_true,output_match_values_false,fork_exact_skip,fork_source_skip,fork_parent_drop,fork_child_null,fork_child_invalid,fork_child_validation_miss,fork_replay_exec,fork_needed,fork_value_mismatch,fork_source_invalid,fork_local_mismatch,fork_infected,decision_exact_leaf,decision_exact_recursive,decision_source_leaf,decision_source_alias,decision_incorrect_child,decision_cheap_false,decision_cheap_true_no_skip,sdc_sites
incomplete,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667821,1667821,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667822,1667822,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5774138005,5.774138005,5616321582,5.616321582,360002568,0.360002568,3230290442,3.230290442,14995607270,14.99560727,9.221469265,9.206614592,5592405,5592405,2796203,54086,260,17425,32055,342398549,242589,99766571,461,1114,13330,178842,9998,72342643,39500927,32299906,4055,21608221,21493117,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667838,1667838,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5779813030,5.77981303,5583198037,5.583198037,280503823,0.280503823,3181840540,3.18184054,14841560006,14.841560006,9.061746976,9.0455424,5592405,5592405,2796203,61103,284,15399,29780,263385720,220183,99204300,547,773,12133,166966,10155,71524582,39164534,31807427,4152,21393936,21271973,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667839,1667839,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5725761609,5.725761609,5573875251,5.573875251,289730368,0.289730368,3203577053,3.203577053,14808815727,14.808815727,9.083054118,9.067182672,5592405,5592405,2796203,53102,241,16797,32829,271908817,233640,91979384,438,707,20100,137202,9361,69426597,38394088,30486119,4134,22420616,22286341,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667841,1667841,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5668267865,5.668267865,5462275116,5.462275116,284195152,0.284195152,3118205132,3.118205132,14549288682,14.549288682,8.881020817,8.8646754,5592405,5592405,2796203,54092,234,11077,21129,266524470,209568,92790202,374,772,12937,180229,9658,71075053,38614189,31915098,4125,22079868,21957431,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667842,1667842,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5626936452,5.626936452,5425264882,5.425264882,279153385,0.279153385,3106224421,3.106224421,14452849544,14.452849544,8.825913092,8.810642688,5592405,5592405,2796203,61489,309,16086,29625,262944616,223292,90490436,482,667,12395,171426,9999,64918427,35937639,28427734,4239,19968372,19842472,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667858,1667858,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5603065403,5.603065403,5429823922,5.429823922,282409910,0.28240991,3070588992,3.070588992,14400533092,14.400533092,8.797467689,8.782822824,5592405,5592405,2796203,53369,366,14439,27832,266171507,242197,95775875,1075,825,14044,133569,10078,64525508,35974950,27994367,4140,19819248,19689217,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667859,1667859,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5728398209,5.728398209,5580639549,5.580639549,280881819,0.280881819,3241543828,3.241543828,14845346720,14.84534672,9.116948511,9.103065196,5592405,5592405,2796203,61522,268,16797,31632,263496897,229235,93961866,471,762,14347,152459,9649,69702196,38275161,30893282,4149,21497752,21372301,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667860,1667860,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5732020746,5.732020746,5579532220,5.57953222,289574982,0.289574982,3206557466,3.206557466,14823872479,14.823872479,9.091851733,9.075664668,5592405,5592405,2796203,53062,235,17173,33500,271487274,213527,91788980,531,711,14256,175407,9077,69263129,38205864,30520026,4091,22419196,22290683,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667861,1667861,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5693057829,5.693057829,5494809902,5.494809902,288487494,0.288487494,3136598617,3.136598617,14628673430,14.62867343,8.935615600999999,8.919896013,5592405,5592405,2796203,59789,249,17022,32598,270589761,216265,97876152,777,678,14745,179749,9752,72791398,40014228,32235183,3977,21715980,21595598,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
