status,is_placeholder,num_nodes,total_cores,sdc_rate,requested_sdc,actual_sdc,runs_total,runs_ok,runs_incomplete,runs_failed,process_time_s_mean,process_time_s_median,process_time_s_min,process_time_s_max,process_time_s_stddev,first_tree_s_mean,twin_tree_s_mean,traversal_s_mean,third_tree_s_mean,overhead_vs_first_s_mean,recovery_overhead_s_mean,actual_sdc_mean,fork_replay_exec_mean,fork_source_skip_mean,fork_value_mismatch_mean,fork_infected_mean
ok,0,8,320,0.000006,3,3,11,11,0,0,23.753449694181818,23.748121267,23.193188555,24.392072974,0.3637736629272444,8.510679433545455,8.428492176181818,0.207016436,6.599086758727273,15.242770260636362,15.23459537090909,3.0,3.0,1.0,3.0,3.0
ok,0,8,320,0.000006,4,4,5,5,0,0,24.9410653604,24.94796572,24.676052427,25.358591466,0.26668240740483895,8.339921353,8.244756577,0.1826132618,8.1655118246,16.6011440074,16.5928816634,4.0,4.0,0.0,4.0,4.0
incomplete,0,8,320,0.000006,5,0,2,0,2,0,,,,,,,,,,,,0.0,,,,
ok,0,8,320,0.000006,5,5,8,8,0,0,25.539294459,25.635883614,24.758801628,26.075812159,0.3825660455388996,8.53618510975,8.4379794885,0.200624153875,8.35642165525,17.00310934925,16.995025297625,5.0,4.0,0.0,4.0,4.0
incomplete,0,8,320,0.000006,6,0,2,0,2,0,,,,,,,,,,,,0.0,,,,
ok,0,8,320,0.000006,6,6,7,7,0,0,25.499452930142855,25.399941216,24.751344179,26.758212115,0.6623050736680517,8.48686758057143,8.367726481,0.18859006785714286,8.448249364285713,17.012585349571427,17.00456591314286,6.0,4.0,0.0,4.0,4.0
incomplete,0,16,640,0.000002,1,0,1,0,1,0,,,,,,,,,,,,0.0,,,,
ok,0,16,640,0.000002,1,1,20,20,0,0,14.57302460935,14.5513316285,14.19820977,14.99560727,0.2304290749605206,5.66573414035,5.4737202931999995,0.29030527665,3.12777556235,8.907290469,8.8918011322,1.0,2.0,2.0,2.0,2.0
ok,0,16,640,0.000002,2,2,10,10,0,0,14.6369715448,14.594125017,14.328369694,14.942548566,0.19188094956170468,5.6907438364,5.4975600829,0.2985003796,3.1343607045,8.946227708399999,8.930421167,2.0,2.0,2.0,2.0,2.0
ok,0,16,640,0.000002,3,2,5,5,0,0,14.5376952512,14.534600873,14.360926771,14.835522675,0.19321695215352502,5.6738298364,5.4553333102,0.285250392,3.1077819204,8.8638654148,8.8483656226,2.0,2.0,2.0,2.0,2.0
ok,0,16,640,0.000002,4,2,7,7,0,0,14.576644394571428,14.577110093,14.268740439,14.847076146,0.22480499134206602,5.6723804285714285,5.486951836714286,0.2812116937142857,3.1209354694285714,8.904263966,8.889098999857143,2.0,2.0,2.0,2.0,2.0
incomplete,0,16,640,0.000006,3,0,1,0,1,0,,,,,,,,,,,,0.0,,,,
ok,0,16,640,0.000006,3,3,13,13,0,0,15.921865558307692,15.832663213,15.558618218,16.266416155,0.2689882449828946,5.685494544461538,5.483710286923077,0.2810922902307692,4.455400103461539,10.236371013846155,10.220202680615385,3.0,3.0,1.0,3.0,3.0
ok,0,16,640,0.000006,4,4,4,4,0,0,16.6677584705,16.679719537,16.385464015,16.926130793,0.22427597843164213,5.61431654325,5.4193888367500005,0.268388855,5.3504279045,11.053441927249999,11.03820559625,4.0,4.0,0.0,4.0,4.0
incomplete,0,16,640,0.000006,5,0,1,0,1,0,,,,,,,,,,,,0.0,,,,
ok,0,16,640,0.000006,5,5,6,6,0,0,16.64203603,16.637275282,16.315295693,16.985962514,0.2446725197597153,5.623103962333333,5.422585394333334,0.263194371,5.317518340333334,11.018932067666668,11.003298105666667,5.0,4.0,0.0,4.0,4.0
incomplete,0,16,640,0.000006,6,0,1,0,1,0,,,,,,,,,,,,0.0,,,,
ok,0,16,640,0.000006,6,6,7,7,0,0,16.88970551342857,16.898564819,16.494940842,17.295895156,0.3027512787504488,5.701355064142857,5.500322510857143,0.2700115711428571,5.402079990142857,11.188350449285714,11.172414072142857,6.0,4.0,0.0,4.0,4.0
